Authors,Year,Title,Otherbibinfo,DOIorURI,WhatReviewed,Type,Discipline,ExDef,ImDef,OpenIdentities,OpenReports,OpenInteraction,OpenParticipation,OpeninTime,OpenPlatforms
"Bruce, Rÿ(Bruce, Rachel)[ÿ1,2,3ÿ]ÿ;ÿChauvin, Aÿ(Chauvin, Anthony)[ÿ2,3,4ÿ]ÿ;ÿTrinquart, Lÿ(Trinquart, Ludovic)[ÿ2,3,5ÿ]ÿ;ÿRavaud, Pÿ(Ravaud, Philippe)[ÿ1,2,3,5ÿ]ÿ;Boutron, Iÿ(Boutron, Isabelle)[ÿ2,3,5ÿ]",2016,Impact of interventions to improve the quality of peer review of biomedical journals: a systematic review and meta-analysis,"BMC MEDICINE, 14",10.1186/s12916-016-0631-5,Journal articles,Article,STEM,"""'Open' peer review process, whereby peer reviewers are informed that their name would be revealed to the authors, other peer reviewers, and/or the public.""",,1,0,0,0,0,0
"Vercellini, Paolo; Buggio, Laura; Vigano, Paola; et al.",2016,Peer review in medical journals: Beyond quality of reports towards transparency and public scrutiny of the process,EUROPEAN JOURNAL OF INTERNAL MEDICINEÿÿVolume:ÿ31ÿÿÿPages:ÿ15-19,10.1016/j.ejim.2016.04.014,Journal articles,Article,STEM,,"""some medical journals have adopted an open peer review system, thus revealing the reviewers' identity to authors""",1,0,0,0,0,0
"Das, A K",2016,"Peer review' for scientific manuscripts: Emerging issues, potential threats, and possible remedies.","Medical journal, Armed Forces IndiaÿÿVolume:ÿ72ÿÿÿIssue:ÿ2ÿÿÿPages:ÿ172-4ÿ",10.1016/j.mjafi.2016.02.014,Journal articles,Article,Interdisciplinary,"""Open review: Identities of authors and reviewers are not concealed.""",,1,0,0,0,0,0
"Resnik, David B.; Elmore, Susan A.",2016,"Ensuring the Quality, Fairness, and Integrity of Journal Peer Review: A Possible Role of Editors",SCIENCE AND ENGINEERING ETHICSÿÿVolume:ÿ22ÿÿÿIssue:ÿ1ÿÿÿPages:ÿ169-188,10.1007/s11948-015-9625-5,Journal articles,Article,Interdisciplinary,"""in an open peer review process no identities are concealed""",,1,0,0,0,0,0
"Levis, Alexander W.; Leentjens, Albert F. G.; Levenson, James L.; et al.",2015,Comparison of self-citation by peer reviewers in a journal with single-blind peer review versus a journal withÿopen peer review,"JOURNAL OF PSYCHOSOMATIC RESEARCH, Volume: 79 Issue: 6 Pages: 561-565",10.1016/j.jpsychores.2015.08.004,Journal articles,Article,STEM,"""open peer review, in which the identities of authors and reviewers are known to one another and, in some settings, reviews are made publically available""",,1,1,0,0,0,0
"Bali, Maha",2015,A new scholar's perspective onÿopen peer review,TEACHING IN HIGHER EDUCATIONÿÿVolume:ÿ20ÿÿÿIssue:ÿ8ÿÿÿPages:ÿ857-863,10.1080/13562517.2015.1085857,Not specified,Article,SSH,,"""In an open peer review, we are less likely to write our critiques so harshly, and instead to consider writing them more constructively, as we will be directly accountable to the authors to explain why we make certain judgments. Also, authors are able to interact with reviewers to clarify and probe further and possibly also explain their perspective, and reviewers are able to build off of each other?s ideas and discuss points on which they disagree with each other or with the author. This is a more pedagogical approach than blind peer review that requires authors to go through editors for such questions.""",1,0,1,0,0,0
"Jones, R. T.",2015,Presidential Address: Truth and error in scientific publishing,JOURNAL OF THE SOUTHERN AFRICAN INSTITUTE OF MINING AND METALLURGYÿÿVolume:ÿ115ÿÿÿIssue:ÿ9ÿÿPages:ÿ799-816,,Not specified,Article,Interdisciplinary,"""an open peer-review system. Reviewers were asked whether they would agree to having their names revealed to the authors whose papers they review."", ""Some journals have started printing the names of reviewers. The British Medical Journal (BMJ), for instance, decided to discontinue anonymous peer reviews in 1999 (New Atlantis, 2006). Open peer review allows for greater transparency and accountability.""",,1,1,0,0,0,0
"Blanes i Vidal, Jordi; Leaver, Clare",2015,Bias inÿOpen Peer-Review: Evidence from the English Superior Courts,JOURNAL OF LAW ECONOMICS & ORGANIZATIONÿÿVolume:ÿ31ÿÿÿIssue:ÿ3ÿÿÿPages:ÿ431-471,10.1093/jleo/ewv004,Court judgements,Article,SSH,"""an open system, where the identities of the reviewers and reviewees are public""",,1,0,0,0,0,0
"Walker, Richard; da Silva, Pascal Rocha",2015,Emerging trends in peer review - a survey,FRONTIERS IN NEUROSCIENCEÿÿVolume:ÿ9ÿÿÿÿÿArticle Number:ÿ169,10.3389/fnins.2015.00169,Journal articles,Article,Interdisciplinary,"""Open: reviewers identifies are revealed to authors and, in some cases, are published together with the article they have reviewed""",,1,1,0,0,0,0
"Nobarany, Syavash; Booth, Kellogg S.",2015,Use of Politeness Strategies in SignedÿOpen Peer Review,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGYÿÿVolume:ÿ66ÿÿÿIssue:ÿ5ÿÿPages:ÿ1048-1064,10.1002/asi.23229,Journal articles,Article,Interdisciplinary,,"NOTE: Specifically does not mean OpenID (terms ""signed"")",0,1,0,0,0,0
"Blomberg, Niklas; Oliveira, Arlindo; Mons, Barend; et al.",2015,The ELIXIR channel in F1000Research.,F1000ResearchÿÿVolume:ÿ4,10.12688/f1000research.7587.2,Journal articles,Article,STEM,,"OPR as in F1000Research (post-publication, ""Expert referees are selected and invited, and their reports and names are published alongside the article, together with the authors' responses"" - note not open participation as this is termed ""user commenting"")",1,1,1,0,1,0
"Walters, W Patrick; Bajorath, Jurgen",2015,On the evolvingÿopen peer reviewÿculture for chemical information science,F1000ResearchÿÿVolume:ÿ4ÿ,10.12688/f1000research.7460.1,Journal articles,Article,STEM,,"OPR as in F1000Research (post-publication, ""Expert referees are selected and invited, and their reports and names are published alongside the article, together with the authors' responses"" - note not open participation as this is termed ""user commenting"")",1,1,1,0,1,0
"Tattersall, Andy",2015,For what it's worth - theÿopen peer reviewÿlandscape,ONLINE INFORMATION REVIEWÿÿVolume:ÿ39ÿÿÿIssue:ÿ5ÿÿÿPages:ÿ649-663,10.1108/OIR-06-2015-0182,Not specified,Article,Interdisciplinary,"""The general philosophy of open peer review is that the reviewer identity will be disclosed and the review directly presented to the scientific community including the authors (without editorial interference). In addition, authors and readers have the opportunity to comment on reviews.""",,1,1,1,1,0,0
"Kowalczuk, Maria K.; Dudbridge, Frank; Nanda, Shreeya; et al.",2015,Retrospective analysis of the quality of reports by author-suggested and non-author-suggested reviewers in journals operating on open or single-blind peer review models,BMJ OPENÿÿVolume:ÿ5ÿÿÿIssue:ÿ9ÿÿÿÿÿArticle Number:ÿe008707,10.1136/bmjopen-2015-008707,Journal articles,Article,STEM,"""open peer review, where authors and reviewers both know each other?s identity""",,1,0,0,0,0,0
"Bajorath, Jurgen",2015,Entering new publication territory in chemoinformatics and chemical information science,F1000ResearchÿÿVolume:ÿ4ÿÿÿPages:ÿ35ÿ,10.12688/f1000research.6101.1,Journal articles,Article,STEM,,"OPR as in F1000Research (post-publication, ""Expert referees are selected and invited, and their reports and names are published alongside the article, together with the authors' responses"" - note not open participation as this is termed ""user commenting"")",1,1,1,0,1,0
"Tracz, Vitek",2015,The five deadly sins of science publishing.,F1000ResearchÿÿVolume:ÿ4ÿÿÿPages:ÿ112,10.12688/f1000research.6488.1,Journal articles,Article,Interdisciplinary,,"OPR as in F1000Research (post-publication, ""Expert referees are selected and invited, and their reports and names are published alongside the article, together with the authors' responses"" - note not open participation as this is termed ""user commenting"")",1,1,1,0,1,0
"Ford, Emily",2015,Open peer reviewÿat four STEM journals: an observational overview.,F1000ResearchÿÿVolume:ÿ4ÿÿÿPages:ÿ6,10.12688/f1000research.6005.2,Journal articles,Article,Interdisciplinary,"""Open peer review, peer review where authors' and reviewers' identities are disclosed to one another,"" ""There is no one universally accepted definition of OPR, which complicates investigations of its practices. As such, I rely on my previous definition, which broadly understands OPR as any scholarly review mechanism providing disclosure of author and referee identities to one another at any point during the peer review or publication process (Ford, 2013).""",,1,0,0,0,0,0
"Moylan, Elizabeth C.; Harold, Simon; O'Neill, Ciaran; et al.",2014,"Open, single-blind, double-blind: which peer review process do you prefer?",BMC PHARMACOLOGY & TOXICOLOGYÿÿVolume:ÿ15ÿÿÿÿÿArticle Number:ÿ55,10.1186/2050-6511-15-55,Journal articles,Article,STEM,"BMC journals ""Under open peer review, authors know who reviewed their manuscript (reviewer reports are signed) and, if the manuscript is published, the reader will also see the reviewers? comments and the authors? response. These comments are published as part of the ?pre-publication history? accompanying the published article, which also contains all versions of the manuscript and (where relevant) editors? comments.""",,1,1,0,0,0,0
"Groves, Trish; Loder, Elizabeth",2014,Prepublication histories andÿopen peer reviewÿat The BMJ,BMJ-BRITISH MEDICAL JOURNALÿÿVolume:ÿ349ÿÿÿÿÿArticle Number:ÿg5394,10.1136/bmj.g5394,Journal articles,Article,STEM,"""Over the past 15 years peer reviewers for The BMJ have shown, by signing their reviews and declaring to authors and editors any relevant competing interests, that they are unafraid of transparent scientific discourse. Now we are opening up our process to make our reviewers? role as authors? critical friends visible to all. From this autumn on thebmj.com all research articles, and certain scholarly articles in The BMJ?s Analysis section, will have an article tab marked ?Reviews.? Clicking on this will open the article?s prepublication history, comprising all signed reviews (including those by statisticians and patient peer reviewers), previous versions of the article, the study protocol for any clinical trial, the report from The BMJ?s manuscript committee meeting, and the authors? responses to the editors? and reviewers? comments. As now, reviewers will not be able to make private comments to editors, except in the rare case when a reviewer wants to express concerns about the scientific integrity of the work (www.bmj.com/about-bmj/resourcesreviewers/guidance-peer-reviewers).""",,1,1,0,0,0,0
"Kumar, Arun H S",2014,Open reviewÿsystem: The new trend in scientific reviewing to improve transparency and overcome biasness.,"Journal of natural science, biology, and medicineÿÿVolume:ÿ5ÿÿÿIssue:ÿ2ÿÿÿPages:ÿ231-2",10.4103/0976-9668.136134,Journal articles,Article,STEM,,"The novel ORS, which we are introducing, is graphically represented inÿFigure 1. This system will be implemented for the 1stÿtime in our flagship Journal Biology, Engineering, Medicine and Science Reports (www.bemsreports.org). All manuscripts submitted to the journal will be accepted and published online within 48 h, following the declaration of originality, honesty, authenticity and validity (DOHAV) by the authors. The manuscript will be assigned a temporary ID and will be available for anybody to make a comment on all aspects of the manuscript. The DOHAV is also a new concept, which will be an improved and extended version of the currently used copyright form adopted by all journals. We think the authors are the best judges of the rigorousness and authenticity of the work presented and hence, we are imparting this necessary responsibility with the authors by asking them to sign DOHAV before the publication of their manuscript. All manuscript will remain in the ORS process for 4 months (which we believe is an adequate time for the global audience to comment on the manuscript) following, which an editorial decision will be made to either modify the manuscript or accept it for publication with a permanent ID/DOI. We envisage introduction of ORS and DOHAV will have following two major advantages. (1) The delay in manuscripts appearing in the public domain following submission to the journal will be considerably reduced to <48 h. (2) Our system will eliminate the biasness from the review process and increase transparency in science journalism.",0,1,0,1,1,0
"Hopewell, Sally; Collins, Gary S.; Boutron, Isabelle; et al.",2014,Impact of peer review on reports of randomised trials published inÿopen peer reviewÿjournals: retrospective before and after study,BMJ-BRITISH MEDICAL JOURNALÿÿVolume:ÿ349ÿÿÿÿÿArticle Number:ÿg4145ÿ,10.1136/bmj.g4145,Journal articles,Article,STEM,"""open peer review, whereby the identity of the peer reviewers is disclosed and, in some instances, the peer reviewer?s comments are included alongside the published article.""",,1,1,0,0,0,0
"Rampelotto, Pabulo Henrique",2014,Opening up Peer Review in Life: Towards a Transparent and Reliable Process,"Life (Basel, Switzerland)ÿÿVolume:ÿ4ÿÿÿIssue:ÿ2ÿÿÿPages:ÿ225-6",10.3390/life4020225,Journal articles,Article,STEM,"""a new system of open peer review, under which the peer-review reports and authors? responses are published as an integral part of the final version of each article ... If reviewers do not want to reveal their identities, we will honour that request and the reviewer?s report will be published ?anonymously?. In an initial test phase, authors submitting manuscripts to Life will therefore have the choice (after acceptance of their paper) to publish the reviewers? comments and their responses along with the article. To protect the impartiality of the peer-review process, the identity of the reviewers will not be revealed to the authors until after a paper is accepted for publication.""",,0,1,0,0,0,0
"Lane, Stuart N.",2014,"ESPL, Open Access andÿOpen Reviewÿ- time for some reflection",EARTH SURFACE PROCESSES AND LANDFORMSÿÿVolume:ÿ39ÿÿÿIssue:ÿ1ÿÿÿPages:ÿ1-3,10.1002/esp.3504,Journal articles,Article,STEM,"""Through Open Review, a paper is commonly published on-line as a discussion paper, normally immediately after a paper has been pre-screened by an Editor. Reviews are then commissioned and provided on-line either anonymously or with the reviewers identifying themselves. The author(s) have the right to respond to these reviewers and these responses are also published on-line.""",,1,1,1,0,1,0
[Anonymous],2013,PubMed PilotsÿOpen Peer ReviewÿSystem,JOURNAL OF THE CANADIAN DENTAL ASSOCIATIONÿÿVolume:ÿ79ÿÿÿÿÿArticle Number:ÿd194,http://www.jcda.ca/article/d194,Journal articles,Article,STEM,,"""PubMed, the widely used database of scientific literature on health and life sciences, is piloting a new system that allows colleagues to comment on any article indexed by PubMed. The recently launched PubMed Commons is ?a forum for open and constructive criticism and discussion of scientific issues.?, ""Until now, conventional letters to the editor provided the scientific community with a way to criticize, question or comment on a published article. PubMed Commons now provides an opportunity for post-publication peer review that has the potential to accelerate scientific debate: comments are unmoderated, immediately posted, and can be shared or cited. It also marks a significant change in editorial control as PubMed Commons allows readers of scientific literature (not journal editors) to drive the discussions.""",0,0,0,1,1,0
